Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look,mate_11_look,mate_12_look,mate_13_look,mate_14_look,mate_15_look,mate_16_look,mate_17_look,mate_18_look,mate_19_look,mate_20_look
27,0.45,0.35,0.4,0.45,0.85,0.65,0.45,1.0,0.4,0.65,0.4,0.4,0.75,0.5,0.45,0.85,0.15,0.8,0.25,0.6
28,0.6,0.1,0.3,0.4,0.8,0.6,0.7,1.0,0.5,0.9,0.6,0.3,0.7,0.3,0.5,0.85,0.2,0.75,0.05,0.75
29,0.45,0.2,0.45,0.5,0.8,0.5,0.6,1.0,0.65,0.8,0.35,0.45,0.7,0.45,0.5,0.7,0.05,0.7,0.0,0.5
30,0.45,0.15,0.1,0.4,0.45,0.45,0.55,0.95,0.85,1.0,0.25,0.4,0.85,0.3,0.45,0.6,0.15,0.65,0.0,0.65
31,0.2,0.3,0.4,0.45,0.45,0.2,0.6,1.0,0.9,0.95,0.15,0.3,0.8,0.35,0.65,0.55,0.35,0.5,0.05,0.75
32,0.05,0.25,0.6,0.55,0.3,0.1,0.55,1.0,0.6,0.85,0.2,0.35,0.8,0.3,0.7,0.65,0.3,0.55,0.0,0.85
33,0.2,0.25,0.5,0.25,0.25,0.2,0.55,0.85,0.85,0.95,0.25,0.45,1.0,0.45,0.65,0.55,0.15,0.4,0.0,0.95
34,0.3,0.25,0.65,0.1,0.35,0.25,0.45,0.7,1.0,0.9,0.45,0.35,0.9,0.45,0.65,0.5,0.05,0.25,0.1,1.0
35,0.4,0.05,0.6,0.2,0.25,0.1,0.35,0.9,0.85,0.85,0.45,0.5,0.85,0.3,0.75,0.35,0.2,0.4,0.15,1.0
36,0.6,0.3,0.5,0.15,0.1,0.15,0.35,0.85,0.75,0.7,0.45,0.4,0.95,0.35,0.65,0.3,0.15,0.25,0.1,0.95
37,0.6,0.15,0.75,0.2,0.1,0.15,0.15,0.75,0.6,1.0,0.6,0.6,1.0,0.05,0.8,0.1,0.2,0.25,0.05,0.95
38,0.5,0.2,0.7,0.2,0.05,0.1,0.2,0.7,0.6,0.9,0.5,0.5,1.0,0.0,0.85,0.1,0.2,0.3,0.0,1.0
39,0.75,0.1,0.5,0.3,0.05,0.05,0.1,0.55,0.5,0.6,0.55,0.65,1.0,0.1,0.8,0.0,0.2,0.4,0.05,1.0
40,0.7,0.2,0.8,0.5,0.0,0.2,0.1,0.65,0.45,0.35,0.55,0.7,1.0,0.05,0.6,0.0,0.4,0.15,0.05,0.95
41,0.85,0.2,0.85,0.45,0.0,0.0,0.25,0.6,0.15,0.1,0.75,0.9,0.75,0.15,0.35,0.05,0.5,0.1,0.1,0.75
42,0.75,0.3,0.65,0.3,0.05,0.05,0.35,0.45,0.25,0.45,0.6,0.85,0.7,0.35,0.5,0.0,0.4,0.25,0.05,0.65
43,0.45,0.5,0.75,0.3,0.1,0.15,0.6,0.65,0.3,0.5,0.25,0.7,0.6,0.55,0.5,0.0,0.45,0.45,0.25,0.35
44,0.25,0.65,0.65,0.45,0.25,0.2,0.75,0.75,0.4,0.5,0.45,0.55,0.5,0.4,0.3,0.0,0.5,0.25,0.15,0.5
45,0.3,0.75,0.8,0.55,0.35,0.05,0.7,0.85,0.6,0.55,0.4,0.55,0.6,0.5,0.35,0.1,0.55,0.25,0.25,0.45
46,0.15,0.7,0.85,0.6,0.5,0.0,0.7,0.85,0.65,0.7,0.25,0.25,0.6,0.7,0.05,0.1,0.7,0.3,0.2,0.55
47,0.15,0.6,0.7,0.75,0.7,0.1,0.8,0.75,0.5,0.8,0.3,0.25,0.7,0.7,0.05,0.15,0.8,0.4,0.35,0.6
48,0.1,0.85,0.75,0.7,0.75,0.05,0.6,0.8,0.6,0.75,0.2,0.2,0.6,0.75,0.0,0.1,0.75,0.65,0.2,0.75
49,0.3,0.7,0.8,0.95,0.75,0.0,0.95,0.75,0.75,1.0,0.2,0.05,0.9,0.95,0.0,0.05,0.85,0.6,0.05,0.8
50,0.4,0.45,0.7,0.85,0.6,0.0,0.85,0.5,0.45,1.0,0.45,0.15,0.75,0.85,0.15,0.1,0.9,0.3,0.15,0.65
51,0.55,0.45,0.8,0.95,0.7,0.05,0.95,0.6,0.5,0.95,0.3,0.05,0.9,0.95,0.45,0.05,0.95,0.45,0.1,0.75
52,0.55,0.65,0.7,0.9,0.8,0.1,0.95,0.55,0.55,0.8,0.25,0.05,0.9,0.9,0.4,0.0,1.0,0.4,0.1,0.8
53,0.7,0.45,0.5,0.95,0.8,0.25,0.9,0.5,0.25,0.7,0.4,0.1,0.9,0.95,0.3,0.0,0.9,0.25,0.15,0.75
54,0.9,0.5,0.3,0.75,0.65,0.1,0.85,0.6,0.35,0.9,0.4,0.3,1.0,0.9,0.05,0.05,1.0,0.1,0.15,0.9
55,0.95,0.45,0.3,0.75,0.7,0.1,0.85,0.55,0.55,0.95,0.4,0.35,1.0,0.75,0.1,0.05,0.9,0.1,0.1,0.9
56,0.95,0.35,0.05,0.95,0.8,0.2,0.85,0.5,0.5,0.9,0.55,0.45,0.95,0.8,0.15,0.1,0.7,0.0,0.25,0.9
57,0.8,0.6,0.2,0.95,0.7,0.3,0.8,0.5,0.45,0.85,0.5,0.6,0.9,0.65,0.35,0.2,0.65,0.0,0.35,0.9
58,0.8,0.8,0.15,1.0,0.5,0.35,0.75,0.5,0.3,0.75,0.45,0.8,0.9,0.4,0.4,0.3,0.55,0.0,0.4,0.95
59,0.65,0.65,0.1,0.95,0.55,0.25,0.7,0.5,0.4,0.75,0.45,0.45,1.0,0.45,0.25,0.25,0.6,0.0,0.35,0.9
60,0.75,0.65,0.35,0.75,0.6,0.3,0.8,0.5,0.35,0.85,0.55,0.5,1.0,0.5,0.45,0.15,0.35,0.0,0.4,0.7
61,0.75,0.55,0.55,0.7,0.85,0.25,0.8,0.25,0.45,0.9,0.55,0.55,0.95,0.6,0.55,0.25,0.4,0.0,0.3,0.7
62,0.8,0.35,0.7,0.6,0.95,0.15,0.8,0.2,0.75,0.95,0.55,0.5,0.95,0.7,0.65,0.35,0.35,0.05,0.25,0.8
63,0.9,0.4,0.75,0.7,0.95,0.25,0.6,0.25,0.8,0.85,0.5,0.7,0.95,0.6,0.7,0.55,0.45,0.15,0.35,0.75
64,0.85,0.55,0.7,0.8,0.8,0.3,0.55,0.1,0.85,0.75,0.35,0.85,0.9,0.4,0.8,0.4,0.15,0.0,0.4,0.5
65,0.7,0.6,0.65,0.8,0.8,0.6,0.85,0.25,0.75,0.65,0.3,0.95,0.7,0.45,0.9,0.25,0.1,0.05,0.35,0.55
66,0.75,0.55,0.55,0.9,0.95,0.45,0.85,0.45,0.8,0.75,0.25,0.95,0.75,0.3,0.85,0.15,0.1,0.15,0.3,0.45
67,0.55,0.45,0.55,0.65,0.9,0.55,1.0,0.6,0.65,0.75,0.2,1.0,0.55,0.2,0.9,0.15,0.15,0.1,0.3,0.5
68,0.3,0.7,0.8,0.45,0.85,0.75,1.0,0.75,0.45,0.8,0.3,0.95,0.35,0.2,0.85,0.4,0.3,0.15,0.5,0.85
69,0.3,0.8,0.85,0.2,0.95,0.55,1.0,0.6,0.25,0.8,0.4,0.95,0.2,0.15,0.9,0.35,0.25,0.2,0.75,0.7
70,0.55,0.6,0.85,0.15,0.85,0.75,1.0,0.7,0.5,0.65,0.45,0.95,0.3,0.4,0.8,0.45,0.15,0.35,0.65,0.9
71,0.55,0.75,0.6,0.15,0.8,0.8,1.0,0.65,0.5,0.65,0.3,0.95,0.2,0.35,0.7,0.6,0.3,0.3,0.7,0.85
72,0.35,0.7,0.65,0.0,0.75,0.7,1.0,0.75,0.65,0.6,0.5,0.95,0.15,0.35,0.65,0.6,0.0,0.3,0.7,0.8
73,0.5,0.75,0.6,0.0,0.65,0.7,0.85,0.7,0.6,0.6,0.4,0.8,0.2,0.35,0.55,0.75,0.0,0.2,0.7,0.75
74,0.55,0.55,0.6,0.05,0.9,0.6,1.0,0.8,0.65,0.35,0.65,0.65,0.25,0.55,0.4,0.9,0.0,0.25,0.45,0.8
75,0.7,0.35,0.4,0.2,0.85,0.6,1.0,0.8,0.75,0.3,0.8,0.55,0.15,0.7,0.45,0.85,0.05,0.0,0.4,0.7
76,0.7,0.1,0.55,0.45,0.75,0.55,0.95,0.55,0.75,0.3,0.9,0.75,0.15,0.8,0.35,0.9,0.15,0.0,0.3,0.75
77,0.9,0.1,0.55,0.55,0.65,0.4,0.95,0.6,0.65,0.3,0.95,0.95,0.05,0.75,0.55,0.95,0.0,0.1,0.15,0.7
78,0.9,0.05,0.4,0.55,0.55,0.4,0.9,0.55,0.6,0.2,0.9,0.95,0.0,0.7,0.45,0.8,0.1,0.05,0.05,0.6
79,0.85,0.05,0.45,0.55,0.5,0.3,0.85,0.5,0.6,0.2,0.8,0.85,0.05,0.55,0.4,0.7,0.1,0.15,0.0,0.75
80,0.95,0.05,0.45,0.35,0.35,0.35,0.9,0.45,0.65,0.15,0.7,0.85,0.1,0.3,0.3,0.65,0.25,0.25,0.05,0.9
81,0.85,0.1,0.5,0.35,0.25,0.35,0.9,0.65,0.7,0.0,0.65,0.9,0.1,0.4,0.5,0.45,0.15,0.35,0.1,0.85
82,0.7,0.1,0.25,0.15,0.35,0.25,0.9,0.8,0.85,0.1,0.7,0.8,0.05,0.35,0.5,0.45,0.2,0.3,0.2,1.0
83,0.85,0.1,0.05,0.15,0.3,0.1,0.85,0.9,0.85,0.0,0.8,0.65,0.05,0.55,0.65,0.6,0.25,0.4,0.25,0.95
84,0.7,0.05,0.05,0.25,0.3,0.25,0.85,0.7,0.8,0.1,0.8,0.85,0.05,0.3,0.55,0.65,0.2,0.4,0.55,0.85
85,0.9,0.0,0.1,0.35,0.15,0.15,0.95,0.8,0.9,0.35,0.9,0.75,0.35,0.35,0.5,0.7,0.15,0.45,0.45,0.8
86,0.9,0.05,0.3,0.35,0.3,0.25,0.75,0.75,0.9,0.5,0.95,0.85,0.2,0.4,0.3,0.55,0.0,0.5,0.65,0.8
87,0.95,0.05,0.25,0.45,0.4,0.4,0.75,0.65,0.9,0.45,1.0,0.9,0.35,0.4,0.2,0.5,0.05,0.45,0.8,0.95
88,0.9,0.0,0.35,0.5,0.5,0.25,0.7,0.45,1.0,0.3,0.95,0.95,0.25,0.55,0.3,0.5,0.05,0.45,0.85,0.8
89,0.9,0.0,0.4,0.2,0.7,0.1,0.6,0.4,1.0,0.05,0.75,0.75,0.2,0.85,0.1,0.2,0.0,0.65,1.0,0.85
90,0.95,0.0,0.15,0.2,0.55,0.25,0.6,0.45,0.95,0.05,1.0,0.6,0.35,0.95,0.25,0.25,0.05,0.7,1.0,0.95
91,0.95,0.0,0.05,0.3,0.65,0.35,0.45,0.35,0.8,0.05,0.95,0.55,0.5,1.0,0.1,0.3,0.0,0.6,0.95,0.95
92,0.85,0.05,0.15,0.4,0.7,0.4,0.45,0.3,0.75,0.0,0.95,0.45,0.65,1.0,0.2,0.35,0.0,0.45,0.85,0.85
93,0.75,0.15,0.05,0.45,0.8,0.5,0.65,0.2,0.6,0.05,0.9,0.25,0.55,0.95,0.15,0.25,0.0,0.7,1.0,0.85
94,0.8,0.3,0.15,0.5,0.65,0.2,0.7,0.25,0.45,0.15,0.85,0.1,0.8,1.0,0.25,0.4,0.05,0.85,0.95,0.7
95,0.8,0.45,0.25,0.6,0.55,0.1,0.9,0.1,0.4,0.15,0.9,0.1,0.7,0.95,0.45,0.2,0.05,0.75,0.8,0.65
96,0.8,0.45,0.35,0.7,0.4,0.2,0.7,0.15,0.25,0.15,0.85,0.2,0.8,1.0,0.6,0.2,0.0,0.9,0.9,0.7
97,0.5,0.6,0.35,0.45,0.5,0.05,0.9,0.15,0.35,0.3,0.85,0.35,0.65,0.95,0.4,0.2,0.0,0.85,0.85,0.65
98,0.3,0.55,0.35,0.25,0.4,0.2,0.9,0.25,0.4,0.3,0.95,0.3,0.7,0.75,0.25,0.15,0.0,0.7,0.7,0.9
99,0.25,0.45,0.35,0.15,0.5,0.3,0.8,0.15,0.4,0.25,0.85,0.65,1.0,0.7,0.4,0.4,0.05,0.7,0.6,0.75
